,mean,total,tech,bio,p.value,FDR
PAPD5,2.34391414090374,8.03365818134841,10.8316374112064,-2.79797922985795,0.853137764003577,0.999932012950346
SNX1,3.20049275646889,10.726741297241,13.5270896712585,-2.80034837401753,0.799958884778098,0.999932012950346
HSDL1,1.18682192239515,3.19115617156765,5.99375235715394,-2.80259618558628,0.971323995284338,0.999932012950346
UBQLN1,4.88411939809726,13.5903612402003,16.3942390668246,-2.80387782662436,0.756530632769848,0.999932012950346
ZFP36L2,2.94373948384394,9.9999171069506,12.8051266780419,-2.80520957109131,0.81339065388267,0.999932012950346
EIF4B,7.960762138102,11.841893845858,14.648630991283,-2.80673714542497,0.781957552259605,0.999932012950346
ZNF738,2.58514750457776,8.86324761443898,11.6713622004748,-2.80811458603581,0.835955948820373,0.999932012950346
EPN1,2.05941569893114,6.95434124901521,9.76421375815799,-2.80987250914278,0.878943506358464,0.999932012950346
LARP1,5.27912229684937,13.8048540994785,16.6151474182516,-2.81029331877314,0.754120116064511,0.999932012950346
ZMIZ1,5.47080422122358,13.8448492075019,16.6575765292701,-2.81272732176818,0.753755471733532,0.999932012950346
BCAM,3.47142378211701,11.3970717414127,14.2099265686407,-2.81285482722799,0.789479360800944,0.999932012950346
SGK494,1.84876961724725,6.09519586120852,8.90816520928358,-2.81296934807506,0.900348799246063,0.999932012950346
C19orf70,1.54394165030671,4.79165640309868,7.60471696082931,-2.81306055773063,0.933656428603631,0.999932012950346
SCAMP3,4.57868436141431,13.2868758367848,16.1001543883316,-2.81327855154672,0.761227801455309,0.999932012950346
KAT6A,4.40771306019454,13.0804295380533,15.8945461926455,-2.8141166545922,0.764132720271859,0.999932012950346
CSTB,3.67089350718049,11.8401730582537,14.6556033585697,-2.81543030031601,0.782558165042907,0.999932012950346
SBNO2,1.99774418680449,6.70242457913572,9.5180320669196,-2.81560748778389,0.885400629682822,0.999932012950346
SRSF11,6.47282447488762,13.5483973039531,16.3676583957982,-2.81926109184509,0.758078581634242,0.999932012950346
NCOA7,3.38384073194644,11.1754994416792,13.9988750004008,-2.82337555872167,0.793835368571221,0.999932012950346
RPL37,6.43615036197362,13.567875254483,16.3949216021254,-2.82704634764239,0.758317655283684,0.999932012950346
FAM210B,7.87723448247142,11.9224797623085,14.7528502377034,-2.83037047539491,0.782254854188837,0.999932012950346
